
2024/09/29 (15:47:53) | ===> btop++ v.1.4.0
2024/09/29 (15:47:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (15:48:24) | ===> btop++ v.1.4.0
2024/09/29 (15:48:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (20:22:52) | ===> btop++ v.1.4.0
2024/09/29 (20:22:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (20:27:15) | ===> btop++ v.1.4.0
2024/09/29 (20:27:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (20:30:06) | ===> btop++ v.1.4.0
2024/09/29 (20:30:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (20:31:24) | ===> btop++ v.1.4.0
2024/09/29 (20:31:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (11:47:43) | ===> btop++ v.1.4.0
2024/10/23 (11:47:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (17:46:19) | ===> btop++ v.1.4.0
2025/02/22 (17:46:19) | WARNING: Intel GPU: Failed to initialize PMU
